"replicate","prior","correlation","mse","centers"
"3","equal",-1,0.0827803245393329,"5"
"3","equal",-0.9,0.28595080255095,"5"
"3","equal",-0.8,0.524892476741739,"5"
"3","equal",-0.7,0.817134372848784,"5"
"3","equal",-0.6,1.15872882008991,"5"
"3","equal",-0.5,1.53909236469315,"5"
"3","equal",-0.4,1.96431023068777,"5"
"3","equal",-0.3,2.41959522635702,"5"
"3","equal",-0.2,2.92305383741108,"5"
"3","equal",-0.1,3.42888448049768,"5"
"3","equal",0,2.71123801179534,"5"
"3","equal",0.1,3.41348114045073,"5"
"3","equal",0.2,2.89210510328402,"5"
"3","equal",0.3,2.41958012266636,"5"
"3","equal",0.4,1.95418310522552,"5"
"3","equal",0.5,1.54043790614096,"5"
"3","equal",0.6,1.14858635395997,"5"
"3","equal",0.7,0.818973793327243,"5"
"3","equal",0.8,0.530822782383733,"5"
"3","equal",0.9,0.281400417612301,"5"
"3","equal",1,0.080456929059496,"5"
"3","proportions",-1,1.00877647719212,"1"
"3","proportions",-0.9,1.0138149234535,"1"
"3","proportions",-0.8,1.01597865008872,"1"
"3","proportions",-0.7,1.01761385371753,"1"
"3","proportions",-0.6,1.01894986874136,"1"
"3","proportions",-0.5,1.02007611566256,"1"
"3","proportions",-0.4,1.02103803582651,"1"
"3","proportions",-0.3,1.0218617553312,"1"
"3","proportions",-0.2,1.0225631223375,"1"
"3","proportions",-0.1,1.02315167987934,"1"
"3","proportions",0,1.02363257045528,"1"
"3","proportions",0.1,1.02400742140999,"1"
"3","proportions",0.2,1.0242746053988,"1"
"3","proportions",0.3,1.02442897992314,"1"
"3","proportions",0.4,1.0244610019491,"1"
"3","proportions",0.5,1.0243548233158,"1"
"3","proportions",0.6,1.02408431792524,"1"
"3","proportions",0.7,1.02360404443206,"1"
"3","proportions",0.8,1.0228245823339,"1"
"3","proportions",0.9,1.02151659722932,"1"
"3","proportions",1,1.0173338924986,"1"
"3","proportions",-1,0.369660288376546,"2"
"3","proportions",-0.9,0.500198287897051,"2"
"3","proportions",-0.8,0.628760506549289,"2"
"3","proportions",-0.7,0.757527529151327,"2"
"3","proportions",-0.6,0.884572348026763,"2"
"3","proportions",-0.5,1.00616136518502,"2"
"3","proportions",-0.4,1.14525060151462,"2"
"3","proportions",-0.3,1.26883227074317,"2"
"3","proportions",-0.2,1.40161530456284,"2"
"3","proportions",-0.1,1.53592443287276,"2"
"3","proportions",0,1.6242860817411,"2"
"3","proportions",0.1,1.53303314276029,"2"
"3","proportions",0.2,1.40122703477739,"2"
"3","proportions",0.3,1.26285265370965,"2"
"3","proportions",0.4,1.13102273289301,"2"
"3","proportions",0.5,1.00685839859473,"2"
"3","proportions",0.6,0.870672051771855,"2"
"3","proportions",0.7,0.752391305953743,"2"
"3","proportions",0.8,0.626353901667717,"2"
"3","proportions",0.9,0.504740398593388,"2"
"3","proportions",1,0.371677770010002,"2"
"3","proportions",-1,0.198145930602863,"3"
"3","proportions",-0.9,0.350151777209571,"3"
"3","proportions",-0.8,0.506115275416621,"3"
"3","proportions",-0.7,0.651626600560227,"3"
"3","proportions",-0.6,0.788014227466547,"3"
"3","proportions",-0.5,0.900966467435718,"3"
"3","proportions",-0.4,0.981117442138192,"3"
"3","proportions",-0.3,1.02431003979677,"3"
"3","proportions",-0.2,1.03106437468313,"3"
"3","proportions",-0.1,1.02420936521088,"3"
"3","proportions",0,1.02423213773329,"3"
"3","proportions",0.1,1.02498886296667,"3"
"3","proportions",0.2,1.0263321092917,"3"
"3","proportions",0.3,1.01969110166321,"3"
"3","proportions",0.4,0.973137299374455,"3"
"3","proportions",0.5,0.892417259655308,"3"
"3","proportions",0.6,0.782895959738377,"3"
"3","proportions",0.7,0.648360252264944,"3"
"3","proportions",0.8,0.508329961926678,"3"
"3","proportions",0.9,0.356286370641859,"3"
"3","proportions",1,0.201104575047947,"3"
"3","proportions",-1,0.122425924920856,"4"
"3","proportions",-0.9,0.291029915541317,"4"
"3","proportions",-0.8,0.450985517051604,"4"
"3","proportions",-0.7,0.606515953603496,"4"
"3","proportions",-0.6,0.744131777106365,"4"
"3","proportions",-0.5,0.862962394024518,"4"
"3","proportions",-0.4,0.951424407388899,"4"
"3","proportions",-0.3,1.02158175307733,"4"
"3","proportions",-0.2,1.0907428505977,"4"
"3","proportions",-0.1,1.16148255767052,"4"
"3","proportions",0,1.21414838303343,"4"
"3","proportions",0.1,1.17626919650742,"4"
"3","proportions",0.2,1.08968874473594,"4"
"3","proportions",0.3,1.01326994692396,"4"
"3","proportions",0.4,0.936915737527613,"4"
"3","proportions",0.5,0.843831666435431,"4"
"3","proportions",0.6,0.73497157828273,"4"
"3","proportions",0.7,0.605342004219819,"4"
"3","proportions",0.8,0.453217906932131,"4"
"3","proportions",0.9,0.294900590302659,"4"
"3","proportions",1,0.123863626142614,"4"
"3","proportions",-1,0.0846434347953696,"5"
"3","proportions",-0.9,0.263848909855476,"5"
"3","proportions",-0.8,0.431539202303761,"5"
